location,primary_contact_source,mistry_2021,prem_2021,prem_2017,population_source
Japan_Fukui-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Fukuoka-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Fukushima-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Gifu-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Gumma-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Hiroshima-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Hokkaido,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Hyogo-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Ibaraki-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Ishikawa-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Iwate-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Kagawa-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Kagoshima-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Kanagawa-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Kochi-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Kumamoto-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Kyoto-fu,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Mie-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Miyagi-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Miyazaki-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Nagano-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Nagasaki-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Nara-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Niigata-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Oita-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Okayama-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Okinawa-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Osaka-fu,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Saga-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Saitama-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Shiga-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Shimane-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Shizuoka-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Tochigi-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Tokushima-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Tokyo-to,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Tottori-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Toyama-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Wakayama-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Yamagata-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Yamaguchi-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Japan_Yamanashi-ken,mistry_2021,True,False,False,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Jordan,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Kazakhstan,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Kenya,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Kiribati,prem_2017,False,False,True,https://population.un.org/wpp/Download/Standard/CSV/
Kuwait,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Kyrgyzstan,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Laos,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Latvia,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Lebanon,prem_2017,False,False,True,https://population.un.org/wpp/Download/Standard/CSV/
Lesotho,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Liberia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Libya,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Lithuania,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Luxembourg,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Macao,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Madagascar,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Malawi,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Malaysia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Maldives,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Mali,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Malta,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Mauritania,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Mauritius,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Mexico,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Moldova,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Monaco,prem_2017,False,False,True,https://population.un.org/wpp/Download/Standard/CSV/
Mongolia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Montenegro,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Morocco,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Mozambique,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Myanmar,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Namibia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Nepal,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Netherlands,mistry_2021,True,True,True,https://population.un.org/wpp/Download/Standard/CSV/
New_Zealand,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Nicaragua,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Niger,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Nigeria,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
North_Korea,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
North_Macedonia,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Norway,mistry_2021,True,True,False,https://population.un.org/wpp/Download/Standard/CSV/
Oman,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Pakistan,prem_2021,False,True,True,https://population.un.org/wpp/Download/Standard/CSV/
Palestine,prem_2021,False,True,False,https://population.un.org/wpp/Download/Standard/CSV/
